Sentences,Explicit Bias,Implicit Bias,Emotional Intensity,Irony
说起初中的班长一下又想起好多事，她剪短发，黑框眼镜，一个很标准的干脆利落女同性恋的形象（不好意思），写一手很漂亮的行楷，最喜欢的诗歌是何其芳的《预言》，曾经用天蓝色的彩墨抄了满满一张纸，诗的开头两句是：这一个心跳的日子终于来临！你夜的叹息似的渐近的足音。她不是一开始就当我班长的，好像是初一下册才提那种尖子班，在此之前。我们两个人的班甚至还被选中当什么考试宣誓的对手，要写宣战书和应战书。宣战书交给我和当时我们班的学委写，学委用现在的话来说是活泼又有一点刻薄的现充女大，她和朋友一拍即合，偷偷在宣战书的背面写了一些侮辱和讽刺的话，当然，是初中生的水平。送过去果然被发现了。她们班主任来找我们班主任，我们班主任连连道歉，最后让我带了一袋棒棒糖去送给她们班。晚上我在后门小声说，找一下你们班的班长，出来的就是她。她收的时候说了什么我已经忘记了。再后来我们变成同一个班，某个晚上在宿舍说起这件往事，她说我一看你就知道那封宣战书背面肯定不是你写的，我说，哦！……欸。原来还有这么一说吗？我以为只是因为我是班干部所以要去道歉呢……,0,0,0,0
IDLOVES是LGBT专属情感信物、爱的礼物。为同志而生，为同志发声，为同志服务。专注5%的lgbt少数群体，定制产品包括：同性单身首饰、同性求婚戒指、同性爱情对戒、个性配饰等爱就是爱，没什么不一样。企业就是社会的器官，为社会创造价值，为特定群体创造价值。IDLOVES为LGBT群体服务，为他们的情感见证，传播LGBT正能量，致力于让LGBT爱情更美好，是你疲惫生活的希望与糖，促进婚姻平权进步，捍卫世间最宝贵的普世价值：真、善、美、爱和自由,0,0,0,0
骗婚然后再有了孩子后离婚还不管孩子的同性恋确实挺该死的。,1,1,1,0
我们从没有伤害他人，我们只是想要活得更好。同性婚姻超话同性亦真爱超话停止歧视同性恋idloves同性戒指,0,0,1,0
【人民大学王某人的性骚扰与师生恋之间差的不仅仅是格调】（原创刘耘Liuyun刘耘Liuyun2024年07月23日08:00贵州）师生恋古已有之。我国唐代大诗人，花间派大湿温庭筠和自己的女弟子鱼玄机之间的感情故事就是一段流传甚广的文坛佳话。“梳洗罢，独倚望江楼。过尽千帆皆不是，斜晖脉脉水悠悠。肠断白蘋洲。”这首《望江南·梳洗罢》有说是温大湿思恋鱼美人之作，虽无凭据，不过鱼美人有多首赠温大湿的诗词传世，却是不争的事实。比如这首收入《全唐诗》的佳作《冬夜寄温飞卿》:“苦思搜诗灯下吟，不眠长夜怕寒衾。满庭木叶愁风起，透幌纱窗惜月沈。疏散未闲终遂愿，盛衰空见本来心。幽栖莫定梧桐处，暮雀啾啾空绕林。”古希腊古罗马也不乏师生恋的故事，不过那个年代柏拉图式的爱情多为精神之恋而且发生于同性之间。同性恋在欧洲中世纪被基督教禁止，师生恋主角也多由同性变为异性。著名的如中世纪神学家皮埃尔·阿伯拉尔在巴黎主教座堂学校担任教师时，和教士的女儿爱洛依丝之间产生爱情，两人秘密结婚生子，可谓惊世骇俗，阿伯拉尔为此付出被没收作案工具的惨痛代价。世人皆知“婚姻是爱情的坟墓”这句名言，却很少知道它出自爱洛依丝的手笔。学校及有研究生培养资格的学术机构并非存在于真空之中，导师与学生在相处过程中产生恋情或发生不伦关系，可以说是人性使然，很难杜绝，中外都一个鸟样。师生恋修成正果的也绝非孤例。中国近现代史上著名的如鲁迅和许广平、蔡元培和周峻、沈从文与张兆和。国外师生恋修成正果最著名的当属法国总统马克龙和他的中学老师布丽吉特。马克龙16岁时爱上自己已婚且有3个孩子的老师布丽吉特，两人年龄相差24岁，相恋14年后，马克龙直到30岁迎娶布丽吉特。即使当上总统，这对老少配的爱情似乎也未见衰减，公开场合时常秀恩爱，震瞎许多人的钛合金狗眼。美国总统拜登退出总统竞选，前总统奥巴马的妻子被认为胜率高于风头正健的大嘴巴懂王特不靠谱。其实这两口子之间也曾经有过一段师生关系，奥巴马是哈佛大学法律系一年级学生时，米歇尔当过这哥们儿的指导老师。师生恋如果有一方是婚内发生关系就是不伦之恋，比如马克龙和布丽吉特。不伦之恋如果纯粹出于感情，修成正果当然不错，即使不能修成正果，一般也不至于产生严重后果。不过如果有利益关系或目的夹杂其中，一方未能达到目的则有可能反目成仇，曝光后导致另一方甚至双方身败名裂。原中央编译局局长衣某人和在该局做博士后的女子发生关系，未能满足女子要求，结果被举报，不但丢官，而且被炒作得沸沸扬扬，轰动一时，可谓身败名裂。由于师生之间的教育教学关系或学术指导关系客观上存在不平等甚至利益瓜葛，而且学生往往是弱势群体，在两性关系中是被动和受伤害的一方，老师存在滥用职权对学生性骚扰甚至性侵的条件和可能，因此师生之间尽管可能出于纯粹的爱情相恋，仍然有违师生伦理。美国包括哈佛大学在内的多个大学从上世纪八十年代就禁止师生恋；英国大学或者明文禁止，或者“强烈不鼓励”；师生恋在德国被视为违纪行为。几乎所有现代文明国家都将教师与未成年学生之间的关系定为刑事犯罪，一经发现，教师会被追究刑事责任。不过，无论是纯粹发自感情的师生恋还是掺杂利益瓜葛的不伦之恋，本质上还是成年人之间你情我愿的事，和教师或导师利用职权违背学生意愿，对学生施行性骚扰甚至霸王硬上弓强行发生性关系，格调和性质是根本不同的。7月21日晚，中国人民大学文学院博士生王某在微博发布视频，实名举报导师王某人对自己性骚扰。7月22日上午8时左右，中国人民大学在官方微博发表声明，称关注到网上相关信息后高度重视，第一时间成立工作组，连夜开展调查核实。因为举报内容详实，证据确凿，性质恶劣，仅仅大半天时间，7月22日晚上7点左右，人民大学就在微博公布了调查处理结果：“经研究决定，给予王某某开除党籍处分，撤销教授职称，取消研究生指导教师资格，撤销其中国人民大学教师岗位任职资格，解除聘用关系。同时，报请上级教育行政部门撤销其教师资格，并将问题线索依法反映给有关机关。”套用特殊年代的语言，王某人已经被人民大学“扫进了历史的垃圾堆”。王某举报及人民大学调查处理以后，网民反应强烈。今天早上，人民大学公布调查处理结果的微博下面点赞已接近100万。在诸多国内外大事上观点严重撕裂，完全尿不到一个壶里的网友表现出罕见的高度一致，近2万跟评几乎一面倒地谴责王某人的罪恶行径，恨不得把这孙子打翻在地再踏上一只脚方能解众网友心头之恨。王某人为万夫所指，原因就在于他的行为以及教师对学生性骚扰甚至霸王硬上弓的类似行径不仅违背师生伦理，而且突破了做人的基本底线。人与禽兽之间，差的不仅仅是格调。简而言之，纯粹的师生恋虽不受鼓励但是甜蜜而且风险似乎不大；师生不伦之恋有如进入暴雨区，或许有酣畅淋漓之快但也有触雷电击危险；老师或导师对学生性骚扰甚至性侵则与禽兽无异，一旦败露，绝对身败名裂，跌进历史的垃圾堆，不但没有任何理由可以为之辩解，也永无翻案平反之日。各高校科研院所有王某人之心者不可不鉴，有王某人之行者自昨日起大概率瑟瑟发抖惶惶不可终日。虽然，但是。人民大学及时调查处理王某人固然赚得点赞无数，窃以为更需要从制度上堵住王某人们披上导师外衣行禽兽之行之漏洞。如果他们刚刚伸出咸猪手时就能够及时发现，而不是等到王某在网上举报造成恶劣影响后再以雷霆之力加以处理，对相关各方岂不是更好？O人民大学王某人的性骚扰与师生恋之间差的不仅仅是格调,0,0,1,0
好想砍同性恋,1,1,1,0
因为对自己的抗虐能力有着清晰的认知所以我至今没看《一受封疆》《无根攻略》等文，但在各个地方看到了这些文的剧透书评啥的我感觉如果我看了会嗑生嗑死，本质上我拒绝不了恨海情天的阴间cp，相比同性恋我可能更喜欢搞同性恨。。。,0,0,1,0
大叔的爱（个人感觉）我觉得见春田妈妈这一段不知道为什么拍得很草率春田妈妈的反应感觉好怪你说他不管介不介意儿子同性恋就算是跟异性结婚也得有点反应吧？？？就是很冷淡。。。谁懂。。。,0,0,1,0
太宰治怎么会是同性恋呢？难道因为他喜欢的中原中也恰好是男的就能说明他是同性恋吗？太宰治只喜欢中原中也一个人，初恋，竹马，搭档，炮友，爱人，这些身份全让中原中也一个人占了，就算中原中也是女的、是双性他也照样会喜欢的好吧，到底是谁造谣太宰治是同性恋？,0,0,1,0
医生称春节期间肛裂病人增多我还以为说中国同性恋增多呢L八月俊杰的微博视频,0,1,1,1
以后能不能在注册各种社交软件的时候认证一下性取向精准定位这些同性恋我觉得异性恋需要一些干净的网络世界,1,1,1,0
再看一次看不明白的小年轻同性恋就会使理性主义也死去又没有非理性主义的浪漫,0,1,0,1
真的痛恨姨妈要来之前的情绪不稳定极其暴躁被激素支配要是可以下辈子不当人要是做人就做可恶的男人然后做同性恋伤害恶心的男人们,1,1,1,0
越来越不喜欢三次元的人了，不管男的女的老的少的同性恋异性恋无性恋，唯爱猫狗,1,1,1,0
男男女女甚至同性恋都互相恨个没完没了，我现在看到那种大大方方夸自己对象的人都有点感动了,1,1,1,0
昨晚做梦梦到我在上学上楼梯途中我的同伴脚崴了鼓起一个大包于是我借此陪去医务室逃课在我闲逛过程中看到一个同性恋男子由于找不到厕所憋不住屎而拉了裤兜子,1,1,1,0
堂本刚结婚同性恋是工作异性恋是生活是吧，直接封个影帝吧，这都能骂到另一个身上，可真牛逼啊,1,1,1,1
奎八gyuhao超话不是我说。我现在除了激动我还害怕。你们太真了我tmd第一次磕啊。。。。。原来没人告诉我真能磕到这样的啊。。。。我觉得你们可以告诉我们你们结婚了。这没什么的对吧。我们会祝福你们的。真的。兄弟个屁你们就是同性恋骗骗公司别给自己骗着了你们结婚吧。求你们了。我的年度总结里有你的国家，我的年度总结里有你给我买的戒指,0,0,1,0
meme营销号有病治病别发一点幽默感没有的异性恋同性恋擦边段子了哪里好笑,0,0,1,1
妈，我带我老公回家过年了。妈闻声叹道：儿啊。。便晕倒了。医院里。妈，我知道你一定不能接受儿子是同性恋的事实，但是我们是真心相爱，求妈成全我们。妈妈说：不，妈晕倒是因为太兴奋了。。。。一直想把你爸掰歪，没想到自个儿儿子本来就是歪的。。。这个妈妈太有爱,0,0,0,1
【投稿】熊良夫：我去跟朋友会盟昭奚恤：有同性恋吗熊良夫：有昭奚恤：那不要去了熊良夫：现在没有了,1,1,0,1
全圆佑穿上了金珉奎的衣服辟谣，不是同性恋，只是关系比较好的队友。真的不是同性恋哦,0,1,0,0
唉，我觉得能入得了我法眼的产品都不是同性恋呀，只不过是好兄弟之间进行一些无伤大雅的草屁股小活动而已,1,1,1,1
呃呃呃呃头发剪短了感觉脸上的肉更软了全身的肉都是香的好想跟mtf大章姐谈同性恋,0,0,0,0
追踪者游戏w终于有时间看完了前夫哥请祝福她们吧，毕竟孩子可以没有爸爸，但不能没有妈妈啊（突然想起冬雨妈妈那句同性恋在俺们郭嘉是不会得到幸福的，那不在就行了吧）,1,1,1,1
恋与深空超话之前还觉得叠是棉花原来还有硬气的时候，直接把禁BL放FB了，现在X上一堆洋妞破防大骂狗叠歧视同性恋洋妞真的双标，大部分反对估计又是因为zzzq，洋妞下一步是不还要骂深空没有黑人男主了,1,0,1,1
以后不管同性恋还是异性恋都不准结婚，我说的,1,1,1,0
两个贱人你俩抱着睡去吧大庭广众打一炮就跑撒娇的宠人的瘾犯爽了我呢参与你们的play然后呢？！死同性恋我现在就扎小人把你俩寄吧扎一起,1,1,1,0
终于明白我跟人吃不到一锅里的根本原因了。。。作品不好看。。。我是找不到喜欢的同性恋的。。。,0,0,1,0
怀疑自己变成同性恋了前四天cxh抓小孩哥上台，我：就连阿信牵着小孩都无法完全抵消我对小孩的讨厌其实没get到温馨的点一直一直到抓到小孩姐了，我才觉得确实美好。,0,0,1,0
我希望全世界女生都是同性恋，男的都去吃屎,1,1,1,0
过年，没用的男人，埋怨的女人，受气的妻子，独断的丈夫，生病的婆婆，吝啬的公公，吵闹的弟弟，叛逆的妹妹，嘲弄的姐姐，孤僻的叔叔，跋扈的婶婶，还有一个同性恋的我,0,0,1,1
今天三个死同性恋要出发去上海了，上海人民小心点。,1,1,1,1
小三蓝的评论下就是这种情况，因为你是同性恋，其他的任何观点立场态度都理应受到阻碍，不遵从特定的进步生活方式更是罪加一等,1,1,1,0
我以前是同性恋，后面喝中药调理好了，药方如下：柏子仁二钱半、白鼓二钱、白术三钱半、桂心一钱半、附子一钱。用法：蜜制丸，每日早中晚饭前各服丸约克，一律白开水服下，服药期间每晚用热水洗，浸一二分钟更佳，一般服用十天后，约可对同性器官感到厌倦，恢复对异性的喜好。,1,1,1,1
我真的受不了了，我是什么很贱的人吗，为什么我有双向情感障碍的情况下还是双性恋？做个单纯的同性恋或者做个单纯的异性恋不好吗？？我真的要受不了了，能不能干脆分裂俩人格算了我天天自己和自己打架多好啊！？,0,1,1,0
月半，那些骗婚的同性恋在床上演来演去的不痛苦么？！我理解不了这些人，很多人都让我找个人陪伴，没感觉的找来不是额外的精神负担么？！我宁愿一个人呆着，这辈子自己和自己过，月半，我们离的很近呢，可惜我总是和爱情没有缘分，晚安！月半！,1,1,1,0
同性恋是一种断子绝孙的病，正常社会可以包容病人，但不可放任传染扩散，应该控制病情发展。,1,1,1,0
刚被我妈很严肃地问是不是同性恋，我问她为啥这么说，她说很早之前我问过她对同性恋怎么看。我说我怎么不记得。她说你就是吧？好吧，我看不上黑丑矮挫的相亲对象我就是同性恋。,0,0,0,1
别人同性恋是工作异性恋是生活只有我们小厚厚做到了表里如一异性恋既是生活也是工作,0,0,0,1
台湾同性恋合法超话，帮忙解决LINE注册转区贴纸主题等方面疑难问题,0,0,0,0
同性恋太聒噪了我要删除转发。,1,1,1,0
老师我有神经病我不想去学校老师我是同性恋我不能去学校老师我玩第五人格不配去学校老师喜欢看柜子不能去学校老师卧槽尼玛,1,1,1,0
感觉每个同性恋特长都是会唱歌我现在已经不敢张嘴,0,0,0,0
姐不对同性恋带有色眼镜，但姐恨每一个在酒店搞恶趣味的男同！还有建议所有酒店都给我搞顶喷花洒！恶心死我一百年无语啊啊啊啊fuck！,1,1,1,0
吓死你们这些同性恋,1,1,1,0
我家教的一个小孩儿家能不能今天就把钱打给我！！！！如果你敢在年前拖欠我工资，我就把你小孩儿教成同性恋！！！！,1,1,1,0
你们花儿与少年七个人以两两配对的形式组合起来结一下婚，随便什么人，随便什么性别，同性恋那更是谢天谢地。,0,0,1,0
：我都怀疑他跟孙策是同性恋,0,1,1,0
老公可以是同性恋但不能是二次元的理由如下查看图片,0,0,1,0
但就是，也许是，见过太多，斗志高扬，旗帜鲜明的LGBT，最终所做所选，甚至未有其口号所喊者二三。同性异性，当回归到每个茶米油盐的生活和拉扯纠结的亲密关系中，都无一例外体现出人性的复杂灰暗，交错纵横。从这个意义上来说，至少于我眼中，世界是纯粹大同的，一眼望去，茫茫大地上只有平等受欲望驱使的肉体。,0,0,1,0
丈夫你别麦了超话老公虽然我知道你不一定是同性恋吗但是你的cpf多到我了能不能别麦了我破大防了,1,1,1,0
我以前是同性恋后面喝中药调理好了，药方如下培根鸡腿堡一个，大薯条一包，吮指原味鸡一块，热辣香骨鸡三块，葡式蛋挞两个，可乐一升。用法：按顺序依次即食，早中晚各服一次。一般服用一年后，约可对同性器官感到厌倦，恢复对异性的喜好疯狂星期四V我拯救我的同性恋喜好,1,0,1,1
很多网友问同性恋是怎么回事？同性恋能改变吗？发现孩子是同性恋怎么办？其实我想说，关于成因还没有那个机构说明确，现在最多的答案是多方原因的组合影响而成icon。首先，家长不要焦虑，同性恋不是一种病症只是本人的性取向不同所以不存在治疗的问题。如果确实心理接受不了，可以去心理咨询icon，会好一些。同性恋咨询情感心理测试亲子教育性取向测试心理学两性情感同性恋家庭教育我们都爱聊八卦感悟人生我们都爱聊八卦我们都爱聊八卦,0,0,0,0
掀大势cp的桌有什么好处捏小心被反噬呀两位小哥哥都说了同性恋是工作又没真让你俩亲嘴儿,0,1,1,1
那异性恋跟同性恋吵架我肯定还是帮同性恋。,0,0,0,0
我也许不是同性恋，但我是真的喜欢同性恋,0,0,1,0
将身上的枷锁和束缚取下来是件很难的事可真正的幸福与快乐（不是指那些晒出来的或者是靠着花钱等精神鸦片来填补空虚弥补内心裂痕）而是真正觉得自己舒服的都是源于这里不需要借助外在的任何物质或者虚荣这个学期我觉得最大的收获应该是这个上戏排练的日子非常特别难忘美好快乐有很多辛苦范绝不虚浮做人做事性格上等等各方面潜移默化影响了很多，对很多事情也更加深有体会云中君真正地认同很多事情开始接受和了解理解比如同性恋这件；比如音乐剧戏曲很多很多这样想来真好,0,0,0,0
我这一生真的被同性恋害得太惨了,1,1,1,0
蒋胡迟早分，三次元的同性恋没有好下场,1,1,1,0
姐妹如果韩国女爱豆只有一个同性恋，那就是我担，如果韩国女爱豆没有同性恋，说明我担退圈了,0,0,1,1
好好好，我就说同性恋会遗传,0,0,0,0
不过如果（）算boss的话逆转裁判也算是像欧美作品里随意地创作出一对同性恋一样随意地创作出了一个纯粹的（坏得很坚定坏出了一定人格魅力的）女性boss,0,0,0,0
娘娘腔超话随便写写。有点ooc，改变原剧情。“唔，邵群”李程秀吓到紧闭着眼不敢看邵群。我靠，我在干什么，我为什么会亲这个像女人一样的李程秀。但是，他的唇真的好软“我靠，邵群你”李文逊等人打开天台的门正好撞见这一幕。“李程秀！是不是你勾引的邵群！你这个同性恋！”没等邵群开口，李文逊等人就快步走过来把愣在原地的李程秀推到地上，准备上手。“不准动手！以后他是我的人，谁都不许动。”“邵群你。”我是他的人？,1,1,1,0
悉尼年度同性恋游行下周日，城市张灯结彩，六色旗招展。图一是旅馆电梯广告。同事解释，海德公园（悉尼市中心，地标）hyde发音同hide，UNhideyourpride就是“张扬你的骄傲”。据说近年游行中国队阵容不断强大。,0,0,0,0
我们同性恋平时爱互相开一些很mean的玩笑促进姐妹情，其实私底下卷绩点考雅思申名校进大厂练肌肉抢老公样样都在较劲,0,0,1,1
这学期上的一节sexualityandcrime一进教室感觉教授特别像那个怪人芭比是字面意思地长得像意思是姬达有点响了结果到了自我介绍趴她说我和我老婆结婚的时间比美国同性恋合法时间还长略失恋并没有,0,0,1,0
爱跟同性恋玩因为顺直实在是很土。但是在（）时只能闭嘴，犯了原罪，我会忏悔,1,1,1,0
你们再说爱豆是同性恋我tm真恐同了反异恐同,1,1,1,0
我还是震惊于征兵季是异性恋，我骂了他四年同性恋结果你告诉我他是异性恋你知道这是多大冲击吗,1,1,1,0
姓同的都贱同事同学同性恋,1,1,1,0
致命游戏你再把副本boss改成这种恋爱脑女的我就感觉你爸妈是同性恋了，，阿姐鼓爆改姐妹抢男人，，霸凌者喜欢被霸凌者我真的，，,0,1,1,1
上小学还有一个好处那就是没有同性恋意识，什么意思你们知道吗，就是我小学的时候不会给男同花钱,0,1,1,1
#平等视角#【因“宣传LGBT”，两家俄罗斯在线电影发行商遭起诉】俄罗斯两家在线电影发行商因违反该国的“反LGBT宣传法”遭到了起诉。去年，俄罗斯大幅扩大对LGBT宣传的限制，同时加强了对LGBT群体权益的打击力度。俄罗斯总统普京曾表示，LGBT代表着西方国家的道德沦丧。据悉，这两家公司分别为Kinopoisk和RestreamMedia。根据俄罗斯法院的发布的公告，两家公司遭到起诉的理由是“利用互联网宣传非传统性关系或性别重置”。两家公司此前都曾因“向未成年人展示LGBT关系”而多次遭到处罚。《BJ单身日记》和《完美陌生人》等多部电影也因此被归类为18禁电影。Kinopoisk的一位发言人告诉记者，此次指控与其上架的美国电视剧《女超人》有关，该剧中包含对同性关系的描写。Kinopoisk公司计划对法院裁决提出上诉。Kinopoisk在一份声明中表示：“目前的法律法规没有为如何判定‘宣传非传统性关系’给出足够清晰的客观标准。”来源：NBCNEWS,1,1,0,0
来杭州见发小第一站就是观看同性恋大电影虽然每张都知道一首但现在紧急复习歌词中,0,0,0,0
如果爱情不是基于性欲的，那同性恋应该也能对异性滋生所谓的“爱情”，而这个事实不存在所以反证得出：“爱情就是被性欲憋出来的各种内心加戏。”,0,1,0,0
《一些同性恋小黄歌》《太老了》,0,0,0,0
爱豆在团里活动的时候才最美是因为有一层同性恋滤镜，同性恋才是爱豆最好的医美,0,0,0,1
现在宫侑在我眼里只是一个把弟弟变成同性恋的狐狸,0,1,1,0
外公外婆说“隔壁有人四十多岁了，还没结婚，这辈子结不了婚，好可怜，”唉，唉外公外婆你知道我们家出了个同性恋吗，同性恋真是太可恶了,1,1,1,0
志禹超话志禹温柔探险家志禹捡手机《我才不要和他绑CP）》“可是好大一片”“大方一点”“还不够”彩蛋回老福特原创私设同性恋合法抓马警告,0,0,0,0
老师我们家孩子怎么一回家就在看日腐？天杀的我要报警抓了你们同性恋,1,1,1,0
评论区看得人好痛苦，只是因为同性恋就被家人单方面断联，这个爹就算让她留学给她买房又怎么样呢？潜台词就是“我在你身上投资了这么多你给的回报我不满意”。我请问当初是在生孩子还是买基金，更无语的是竟然会有人认为这是爱，你们的爱真廉价。,1,0,1,0
爱奇艺我只想说干得好，把那么好的小说改得面目全非，活该被下架！愿中国在接受同性恋之前，再无耽改剧,1,0,1,1
我开始怀疑王茜是同性恋喜欢我了,0,1,1,0
我发现我想跟一个男生真正成为朋友我就特别希望他是同性恋（没有说同性恋不好的意思）,0,0,0,0
老钟父母就是这样，你说自己是同性恋肯定是精神出问题了，不能接受，要喊医生帮忙加点药,1,1,1,1
中国没有同性恋中国没有同性恋中国没有同性恋中国没有同性恋中国没有同性恋中国没有同性恋中国没有同性恋中国没有同性恋中国没有同性恋中国没有同性恋中国没有同性恋,1,1,1,0
看见老德大婚视频我百感交集，老德穿婚服旁边太适合站个，，，，，的男人了给我演同性恋啊啊啊啊啊,0,0,1,0
看着自己喜欢的情侣博主一个一个分手。啊啊啊啊啊啊啊啊崩溃。能结婚的时候觉得不婚挺好的。我现在觉得为什么同性恋不能结婚。不然我一辈子也找不到愿意一直陪着我的。,0,0,1,0
我现在满脑子都是那个：女孩是个同性恋就喜欢比自己大的姐姐姐姐姐姐姐姐,0,0,1,0
我老公们是同性恋,0,0,0,0
牛逼啊同性恋,0,0,1,0
异性恋之所以在自然界是一种低等的文明就是因为它会随着智人社会的私有制而最终衍生出董学并逐渐使其自然性被社会性取代而这个时候错的就已经不再是异性恋本身了同时也意味着你们同性恋也早已不是同性恋本身而是一种被剥去其质料的异性恋,1,1,1,0
姐姐如果你是直女的话那我们别再聊了，你太可怕了，三言两语把一个异性恋撩拨成同性恋,0,1,1,0
我看的同性恋漫画吗不知道的以为点进了同人本。,0,0,1,1
丁克结婚和同性恋型婚有什么区别？,0,1,0,0
“对同性恋来说，同性婚姻合法化的进程看起来似乎偏离了异性恋婚姻的道路。事实上，他们争取权利的目的是相同的：瓦解长期存在的婚姻制度，建构婚姻的崭新蓝图，使婚姻不再是男性借助他的法律权力、经济权力和性权力来压制女性的一种守旧、傲慢的方式，而是成为一个民主的、灵活的、能够以平等的心态接纳每一个人的共同体。”,0,0,0,0
看到了网民的段子，越发理解一夫一妻制保证的是普通人的婚姻和生育权。就。。。。嗯这样说吧，在没有婚姻法保护下的同性恋，我甚至看到有些颜值和金钱加持下的男人，他能有好几个对象。,0,1,1,0
最幸福的时候就是小学和初中因为只要好好学习够屁精就会被老师喜欢妈呀初中九门课九个老师我天呢高中开始就痛苦老师还行因为至少倒数第一也有特别关照现在能记起来的同学都很讨厌大学偶尔装一下积极也还行跟舍友单方面结了四年仇上的三个月班因为心不在焉工位都一干二净每天像明天就跑路所以跟所有人都淡淡的而且组长还挺膈应的所有人都膈应，我妈有点担心地问我不会真的是同性恋吧我说真的是她说那就把我送出国（我知道是开玩笑的我家妈有那个钱）我问为什么她说国外同性恋结婚不犯法我说也不是全都不犯法但是无论在哪我都不会结婚因为我恨所有人（我居然真的用嘴说出来了“我恨所有人”笑死我了啊啊啊啊也尴尬死还好那是我妈我啥傻样她没见过……）,0,0,1,0
一张图读松岛青梅竹马两小无猜时期如何探索同性恋的奥秘,0,0,0,0
吴时温个赝品同性恋,1,0,1,0
好笑的中国人，不喜欢同性恋而已，还专门创造个“同性依恋”的词出来，告诉青春期对同性有迷蒙感情的孩子们你们只是对朋友的依赖，你们很快就会重新喜欢男生女生的，很快会变正常的明明只是爱而已，有那么见不得天日吗,1,1,1,1
喯起玩起就庆幸你们搞得是同性恋吧,0,1,1,0
宋夕瑶毕旭凌（最新完整版热推小说宋夕瑶毕旭凌）全文阅读笔趣阁前往公众号【度心文阁】回个：宋夕瑶，就好了台边的毕旭凌和陈之让并不知道自己就这么莫名其妙被盖上了一个同性恋的帽子。　　突然，吧台上毕旭凌的手机响起，陈之让看到屏幕上的‘郑妮媛’三个字，不禁哼笑一声。第章　　毕旭凌接起电话：“喂？”　　那头郑妮媛的语气有些沉：“旭凌，你现在在哪里？”　　毕旭凌回答：“和一个朋友在酒吧。”　　郑妮媛语调都提高了八度：“你怎么能喝酒？”　　飞行员在执行飞行任务的前十二个小时内都是不允许饮酒的,0,1,0,0
再给我推amhy老子杀了你们。。我老公是同性恋。。,0,0,1,0
喜欢（麻木不仁），两个女主充满爱，不是同性恋那种，而是无私的爱，凌驾于性别，哦God，性别是这一层无法逃脱的点,0,0,1,0
据说《坠落的审判》要在国内上映了，我很好奇关于女主同性恋的部分会被怎么剪辑。,0,0,0,0
我爹说催婚是因为不想让亲戚知道我是同性恋会丢脸，我：其实我是抑郁症。,1,1,1,1
原来去泰国之后一个男同性恋的美貌程度评分标准是被几个人轮,1,1,1,1
【敲门】【】【BL】家庭调解节目迎来两个闹分手的男同性恋双方互相举证各执一词,0,0,0,0
人人都能谈恋爱，凭什么我们燃耀不能！！编剧你说你是不是歧视，帅哥就不能搞同性恋啦？,0,0,1,0
